Vendor Name,Invoice Number,Purchase Order (PO) ID,Payment Status,Discount Due Date,Asset ID,Asset Description,Acquisition Date,Depreciation Method,Useful Life (Years),Salvage Value
Keystone Legal Services,INV-520304,PO-97720,Paid,2022-05-08,VH-0207,Company Car,2022-04-23,Double Declining Balance,10,13447.75
Pinnacle Manufacturing,INV-890371,PO-44995,Overdue,2024-06-08,VH-0208,Truck,2024-05-09,Sum-of-Years-Digits,7,8622.5
Apex Janitorial,INV-223967,PO-71000,Overdue,2025-06-14,FF-0209,Filing Cabinet,2025-06-04,Double Declining Balance,20,3704.15
Nexus Software,INV-329772,PO-27507,Partial,2026-10-11,IT-0210,Switch,2026-09-11,Double Declining Balance,7,13771.33
BlueSky Marketing,INV-329021,PO-42435,Scheduled,2025-11-16,EQ-0211,HVAC Unit,2025-10-17,Straight-Line,15,31529.39
Redwood Analytics,INV-630041,PO-36497,Scheduled,2024-02-03,IT-0212,Router,2024-01-04,MACRS,3,2909.16
Pinnacle Manufacturing,INV-711474,PO-74071,Paid,2020-12-04,BL-0213,Warehouse Expansion,2020-11-04,MACRS,3,14451.7
BlueSky Marketing,INV-584838,PO-98181,Overdue,2019-09-30,VH-0214,Company Car,2019-08-16,Straight-Line,10,8700.82
Nexus Software,INV-166857,PO-80931,Paid,2021-11-18,VH-0215,Truck,2021-11-08,Straight-Line,3,11344.26
Bridgeport Packaging,INV-772687,PO-94656,Partial,2024-04-27,FF-0216,Conference Table,2024-04-17,Sum-of-Years-Digits,5,14209.19
Quantum Electronics,INV-665497,PO-27431,Overdue,2023-05-31,EQ-0217,HVAC Unit,2023-04-16,Straight-Line,3,34929.33
Atlas Cloud Services,INV-892911,PO-12979,Overdue,2025-02-23,BL-0218,Office Renovation,2025-01-09,Units of Production,20,10316.44
Silverline Insurance,INV-262656,PO-46129,Pending,2025-03-25,BL-0219,Warehouse Expansion,2025-02-08,Straight-Line,5,7786.71
TechVault Solutions,INV-722795,PO-14400,Partial,2026-07-12,BL-0220,Office Renovation,2026-05-28,MACRS,5,3276.49
Silverline Insurance,INV-327823,PO-17398,Pending,2026-11-30,VH-0221,Truck,2026-11-20,MACRS,10,9840.97
Evergreen Facilities,INV-416422,PO-28777,Scheduled,2021-09-16,BL-0222,Parking Lot,2021-08-17,Double Declining Balance,20,21094.79
Ironclad Security,INV-283640,PO-92050,Partial,2022-06-14,IT-0223,Router,2022-05-15,MACRS,15,37042.89
Pacific Fleet Services,INV-414455,PO-59343,Pending,2019-08-11,EQ-0224,CNC Machine,2019-07-12,MACRS,20,12195.9
Pacific Fleet Services,INV-532723,PO-64592,Scheduled,2021-09-29,FF-0225,Chair,2021-09-14,MACRS,10,14091.64
Pinnacle Manufacturing,INV-571635,PO-58637,Paid,2023-05-25,FF-0226,Chair,2023-05-10,MACRS,7,10518.15
Oasis Water Services,INV-176319,PO-34662,Scheduled,2021-03-01,FF-0227,Conference Table,2021-02-19,MACRS,20,22342.19
Meridian Consulting,INV-877493,PO-25376,Partial,2024-06-01,FF-0228,Filing Cabinet,2024-05-17,Double Declining Balance,3,10676.72
Trident HVAC Systems,INV-499152,PO-71112,Scheduled,2025-10-26,EQ-0229,Compressor,2025-10-11,Sum-of-Years-Digits,15,14106.03
Evergreen Facilities,INV-857505,PO-71537,Overdue,2022-01-06,BL-0230,Warehouse Expansion,2021-12-07,Double Declining Balance,10,4490.46
Sterling Furniture,INV-373441,PO-82523,Scheduled,2022-08-19,IT-0231,Router,2022-07-05,MACRS,5,14004.87
Oasis Water Services,INV-973844,PO-42208,Partial,2023-10-07,VH-0232,Van,2023-09-07,MACRS,7,6503.92
Metro Print & Copy,INV-583214,PO-32050,Overdue,2026-10-06,FF-0233,Conference Table,2026-09-06,Double Declining Balance,20,27153.0
Pinnacle Manufacturing,INV-177941,PO-97584,Paid,2025-04-02,VH-0234,Truck,2025-02-16,Straight-Line,15,1647.11
Ironclad Security,INV-578160,PO-58916,Paid,2020-08-01,IT-0235,Switch,2020-07-17,MACRS,5,239.81
Metro Print & Copy,INV-112426,PO-12192,Scheduled,2026-08-08,EQ-0236,Generator,2026-06-24,Sum-of-Years-Digits,3,18586.64
Granite Construction,INV-287974,PO-24026,Paid,2022-03-30,BL-0237,Parking Lot,2022-03-20,MACRS,20,19378.13
Pinnacle Manufacturing,INV-933551,PO-62022,Paid,2021-09-29,BL-0238,Parking Lot,2021-09-14,Sum-of-Years-Digits,7,22098.5
Nexus Software,INV-785491,PO-95182,Paid,2024-03-10,VH-0239,Forklift,2024-02-24,Straight-Line,20,38549.24
Nexus Software,INV-279708,PO-20837,Partial,2023-05-18,BL-0240,Warehouse Expansion,2023-04-03,Units of Production,3,8608.27
Metro Print & Copy,INV-825916,PO-84289,Partial,2022-09-28,BL-0241,Office Renovation,2022-09-18,Sum-of-Years-Digits,5,10356.06
TechVault Solutions,INV-991737,PO-51220,Paid,2019-12-01,BL-0242,Parking Lot,2019-11-01,Double Declining Balance,20,701.74
Apex Janitorial,INV-975194,PO-61007,Scheduled,2020-09-27,IT-0243,Monitor,2020-08-13,Sum-of-Years-Digits,5,12767.57
Nexus Software,INV-343420,PO-19963,Overdue,2020-08-06,BL-0244,Parking Lot,2020-07-27,MACRS,7,942.38
Phoenix Data Centers,INV-572436,PO-74304,Pending,2026-01-03,FF-0245,Desk,2025-11-19,Sum-of-Years-Digits,20,12087.62
Granite Construction,INV-936821,PO-42302,Paid,2023-05-02,VH-0246,Company Car,2023-03-18,Straight-Line,3,28975.29
Vanguard Equipment Co,INV-105447,PO-50405,Partial,2020-11-07,VH-0247,Company Car,2020-09-23,Sum-of-Years-Digits,7,6271.98
Phoenix Data Centers,INV-681687,PO-77166,Partial,2022-01-19,VH-0248,Truck,2022-01-09,Straight-Line,5,13313.98
Acme Office Supplies,INV-503951,PO-11617,Overdue,2020-02-02,BL-0249,Office Renovation,2020-01-03,Units of Production,15,26369.3
Nexus Software,INV-245584,PO-45247,Overdue,2019-12-28,BL-0250,Parking Lot,2019-12-13,Sum-of-Years-Digits,5,19295.94
Pacific Fleet Services,INV-920685,PO-20082,Overdue,2020-08-30,VH-0251,Company Car,2020-08-20,Sum-of-Years-Digits,7,10530.33
Cornerstone IT,INV-419457,PO-10887,Partial,2026-02-18,BL-0252,Parking Lot,2026-01-04,Sum-of-Years-Digits,5,7960.18
Harbor Freight Supplies,INV-782661,PO-87908,Pending,2026-01-29,FF-0253,Conference Table,2025-12-15,Sum-of-Years-Digits,7,19538.31
Horizon Telecom,INV-405605,PO-92955,Partial,2025-10-21,EQ-0254,CNC Machine,2025-10-06,MACRS,5,20487.11
Keystone Legal Services,INV-691240,PO-36188,Scheduled,2021-10-19,EQ-0255,CNC Machine,2021-09-19,MACRS,10,6452.46
Atlas Cloud Services,INV-826490,PO-19064,Partial,2026-09-03,EQ-0256,Compressor,2026-08-24,Units of Production,10,19640.2
Pinnacle Manufacturing,INV-927406,PO-59412,Paid,2026-03-09,VH-0257,Forklift,2026-02-07,Units of Production,20,6434.08
Catalyst Training Group,INV-929130,PO-57124,Scheduled,2024-06-30,BL-0258,Parking Lot,2024-05-16,MACRS,20,14490.54
Metro Print & Copy,INV-690579,PO-94545,Partial,2019-12-25,VH-0259,Forklift,2019-12-15,Sum-of-Years-Digits,5,24138.47
Keystone Legal Services,INV-643998,PO-83137,Scheduled,2023-11-09,IT-0260,Laptop,2023-10-30,MACRS,7,7431.0
Cornerstone IT,INV-258067,PO-55215,Paid,2024-01-30,EQ-0261,HVAC Unit,2023-12-31,Units of Production,20,23771.19
Greenfield Energy,INV-459731,PO-69681,Pending,2022-06-09,IT-0262,Laptop,2022-04-25,MACRS,20,3848.56
Pacific Fleet Services,INV-170437,PO-49356,Paid,2023-01-11,IT-0263,Printer,2022-11-27,Straight-Line,20,21587.59
Acme Office Supplies,INV-447067,PO-83380,Partial,2022-11-16,VH-0264,Van,2022-11-06,Units of Production,15,6138.85
Cornerstone IT,INV-306909,PO-68926,Scheduled,2023-08-02,VH-0265,Company Car,2023-07-18,Units of Production,10,1309.28
Nexus Software,INV-705393,PO-23336,Scheduled,2019-02-03,VH-0266,Forklift,2019-01-19,Double Declining Balance,20,35998.26
Sterling Furniture,INV-653349,PO-93769,Overdue,2022-09-12,EQ-0267,Generator,2022-08-28,MACRS,7,31631.01
Nexus Software,INV-747351,PO-32613,Overdue,2025-12-23,BL-0268,Office Renovation,2025-11-08,MACRS,7,16404.3
Apex Janitorial,INV-491439,PO-28528,Scheduled,2019-12-29,FF-0269,Desk,2019-12-14,Units of Production,5,5440.74
Ironclad Security,INV-663483,PO-94575,Pending,2025-09-23,BL-0270,Warehouse Expansion,2025-09-08,MACRS,10,6050.89
Atlas Cloud Services,INV-156215,PO-57059,Paid,2024-07-28,VH-0271,Van,2024-06-28,Units of Production,7,26026.68
Pinnacle Manufacturing,INV-615611,PO-64477,Partial,2021-04-24,BL-0272,Parking Lot,2021-03-10,Units of Production,20,14506.3
Atlas Cloud Services,INV-402692,PO-32047,Partial,2019-12-15,VH-0273,Forklift,2019-12-05,MACRS,3,6074.44
Oasis Water Services,INV-484682,PO-81046,Paid,2024-07-31,BL-0274,Office Renovation,2024-07-21,Units of Production,7,26778.43
Granite Construction,INV-133796,PO-68947,Overdue,2021-07-29,IT-0275,Switch,2021-06-14,Sum-of-Years-Digits,20,17204.64
Crestview Landscaping,INV-822608,PO-55957,Scheduled,2020-02-06,IT-0276,Server,2019-12-23,Units of Production,5,34219.95
Atlas Cloud Services,INV-394739,PO-88231,Scheduled,2025-12-13,VH-0277,Van,2025-11-28,Double Declining Balance,3,15387.29
Horizon Telecom,INV-199850,PO-27771,Partial,2026-12-23,FF-0278,Filing Cabinet,2026-11-23,Straight-Line,15,35918.59
Vanguard Equipment Co,INV-359579,PO-98635,Partial,2026-05-25,VH-0279,Van,2026-05-10,Units of Production,5,18383.53
Pinnacle Manufacturing,INV-906233,PO-22202,Partial,2025-07-23,EQ-0280,HVAC Unit,2025-06-23,MACRS,10,2943.82
Oasis Water Services,INV-911739,PO-22208,Partial,2022-03-15,EQ-0281,HVAC Unit,2022-02-13,Sum-of-Years-Digits,7,7709.58
Crestview Landscaping,INV-968581,PO-47171,Overdue,2019-11-01,VH-0282,Company Car,2019-09-17,MACRS,5,11753.26
Apex Janitorial,INV-977345,PO-70238,Paid,2020-08-02,FF-0283,Desk,2020-06-18,Straight-Line,3,3828.74
Bridgeport Packaging,INV-238320,PO-95196,Overdue,2020-11-23,EQ-0284,Generator,2020-10-09,Double Declining Balance,10,10672.62
Crestview Landscaping,INV-780432,PO-31695,Paid,2022-02-06,FF-0285,Filing Cabinet,2022-01-27,Units of Production,3,14664.69
Metro Print & Copy,INV-599968,PO-20215,Pending,2022-06-20,EQ-0286,Generator,2022-06-05,MACRS,20,1276.7
Cornerstone IT,INV-542828,PO-27324,Partial,2024-12-12,IT-0287,Laptop,2024-10-28,Straight-Line,20,15628.47
Cornerstone IT,INV-243790,PO-60164,Pending,2023-04-29,IT-0288,Laptop,2023-04-19,Double Declining Balance,7,17641.8
Summit Logistics,INV-323404,PO-92323,Pending,2024-12-22,BL-0289,Parking Lot,2024-12-12,Units of Production,5,11897.22
Catalyst Training Group,INV-718213,PO-60335,Overdue,2026-10-28,VH-0290,Truck,2026-09-13,Units of Production,3,6059.14
Horizon Telecom,INV-856211,PO-89638,Overdue,2020-08-10,FF-0291,Desk,2020-07-26,Straight-Line,5,20401.47
Crestview Landscaping,INV-157219,PO-41370,Partial,2026-06-19,VH-0292,Van,2026-05-20,Units of Production,20,9734.52
Greenfield Energy,INV-478638,PO-51480,Pending,2021-10-29,BL-0293,Office Renovation,2021-09-14,Units of Production,15,45913.53
Crestview Landscaping,INV-715895,PO-18851,Paid,2025-07-01,FF-0294,Chair,2025-05-17,Sum-of-Years-Digits,10,12338.9
Meridian Consulting,INV-535612,PO-65518,Partial,2019-06-23,EQ-0295,CNC Machine,2019-06-13,Straight-Line,20,23443.35
Metro Print & Copy,INV-313068,PO-30365,Scheduled,2025-01-21,FF-0296,Desk,2025-01-06,Sum-of-Years-Digits,7,2687.85
Nexus Software,INV-356355,PO-21300,Partial,2025-08-09,FF-0297,Conference Table,2025-07-30,Straight-Line,20,19080.6
BlueSky Marketing,INV-835575,PO-11487,Pending,2025-11-22,FF-0298,Chair,2025-11-12,Units of Production,3,596.63
Sterling Furniture,INV-381819,PO-25473,Paid,2024-12-12,VH-0299,Forklift,2024-11-12,Sum-of-Years-Digits,5,32940.4
Keystone Legal Services,INV-758015,PO-20101,Partial,2023-11-24,BL-0300,Office Renovation,2023-10-25,Units of Production,7,36745.5
Redwood Analytics,INV-207903,PO-85223,Paid,2023-01-25,EQ-0301,Compressor,2023-01-15,Double Declining Balance,7,3684.02
Oasis Water Services,INV-501583,PO-29671,Pending,2024-09-25,IT-0302,Laptop,2024-09-15,Straight-Line,5,1515.96
Granite Construction,INV-435476,PO-45554,Paid,2026-06-23,VH-0303,Forklift,2026-05-09,MACRS,5,20540.21
Sterling Furniture,INV-172274,PO-70960,Overdue,2020-05-14,VH-0304,Van,2020-05-04,Sum-of-Years-Digits,15,2421.43
Horizon Telecom,INV-418672,PO-91620,Pending,2020-02-03,IT-0305,Monitor,2019-12-20,Units of Production,5,10353.76
Sterling Furniture,INV-125071,PO-40539,Scheduled,2025-10-04,VH-0306,Van,2025-08-20,Sum-of-Years-Digits,5,412.19
Metro Print & Copy,INV-862540,PO-50306,Paid,2026-10-21,FF-0307,Desk,2026-10-11,Double Declining Balance,20,17582.21
Redwood Analytics,INV-146032,PO-40339,Scheduled,2021-10-17,EQ-0308,Generator,2021-09-02,Units of Production,5,17204.16
Trident HVAC Systems,INV-959793,PO-61688,Paid,2023-04-20,IT-0309,Router,2023-03-06,MACRS,3,9313.18
Apex Janitorial,INV-939717,PO-61505,Overdue,2019-10-28,VH-0310,Van,2019-09-13,Sum-of-Years-Digits,7,12242.21
BlueSky Marketing,INV-214266,PO-30369,Paid,2022-02-02,IT-0311,Server,2022-01-18,Double Declining Balance,5,33924.56
BlueSky Marketing,INV-317722,PO-69233,Overdue,2024-04-22,EQ-0312,Generator,2024-03-23,Units of Production,15,18383.51
Vanguard Equipment Co,INV-325465,PO-52964,Pending,2020-05-16,VH-0313,Forklift,2020-05-06,Straight-Line,20,25736.22
Trident HVAC Systems,INV-282313,PO-14073,Partial,2021-11-12,EQ-0314,Generator,2021-10-13,Units of Production,20,7018.64
Granite Construction,INV-227352,PO-11567,Paid,2025-03-18,IT-0315,Printer,2025-03-03,Double Declining Balance,3,35713.98
Pinnacle Manufacturing,INV-952227,PO-19828,Paid,2021-05-06,FF-0316,Desk,2021-03-22,Straight-Line,15,13691.81
Meridian Consulting,INV-583388,PO-16637,Pending,2026-05-14,VH-0317,Truck,2026-03-30,MACRS,7,1839.86
Ironclad Security,INV-325146,PO-34530,Overdue,2023-07-21,IT-0318,Printer,2023-06-06,Sum-of-Years-Digits,20,8529.51
BlueSky Marketing,INV-623125,PO-64000,Scheduled,2020-09-10,BL-0319,Parking Lot,2020-08-31,Units of Production,15,9550.82
TechVault Solutions,INV-935922,PO-78919,Pending,2020-01-25,EQ-0320,Compressor,2019-12-26,MACRS,10,7727.76
Keystone Legal Services,INV-693128,PO-75849,Overdue,2019-05-05,FF-0321,Conference Table,2019-03-21,Units of Production,15,25196.59
Vanguard Equipment Co,INV-394579,PO-17679,Partial,2021-01-16,FF-0322,Chair,2021-01-06,MACRS,3,40381.54
Sterling Furniture,INV-659614,PO-17328,Pending,2025-08-04,VH-0323,Truck,2025-07-20,MACRS,5,14881.46
Crestview Landscaping,INV-873959,PO-57026,Scheduled,2023-06-09,VH-0324,Van,2023-05-10,Straight-Line,5,15224.2
Trident HVAC Systems,INV-977340,PO-74517,Scheduled,2026-12-09,BL-0325,Parking Lot,2026-11-09,Sum-of-Years-Digits,5,28475.89
Atlas Cloud Services,INV-652021,PO-72650,Paid,2024-07-11,IT-0326,Laptop,2024-07-01,Sum-of-Years-Digits,5,13104.16
Bridgeport Packaging,INV-985296,PO-52413,Paid,2025-12-05,VH-0327,Forklift,2025-11-20,Straight-Line,20,8831.16
Pinnacle Manufacturing,INV-794303,PO-61851,Scheduled,2025-08-14,IT-0328,Router,2025-07-30,Straight-Line,7,2069.13
Horizon Telecom,INV-770318,PO-73858,Overdue,2022-06-20,VH-0329,Van,2022-05-21,Double Declining Balance,20,28789.45
Trident HVAC Systems,INV-408823,PO-26691,Pending,2025-05-20,VH-0330,Van,2025-04-20,Straight-Line,10,12956.99
Trident HVAC Systems,INV-948095,PO-90134,Pending,2025-07-19,BL-0331,Office Renovation,2025-06-04,MACRS,5,15482.01
Greenfield Energy,INV-276042,PO-93386,Paid,2024-08-09,FF-0332,Desk,2024-07-25,Sum-of-Years-Digits,5,18041.19
BlueSky Marketing,INV-925250,PO-24160,Paid,2019-03-18,VH-0333,Van,2019-02-16,Straight-Line,20,1874.1
Nexus Software,INV-672547,PO-59197,Paid,2024-01-14,VH-0334,Company Car,2023-11-30,Units of Production,10,24741.82
Keystone Legal Services,INV-409234,PO-12631,Overdue,2025-07-10,VH-0335,Company Car,2025-06-25,Sum-of-Years-Digits,3,37142.23
Greenfield Energy,INV-197627,PO-54295,Scheduled,2019-11-30,VH-0336,Company Car,2019-10-31,MACRS,5,11783.65
Quantum Electronics,INV-156157,PO-23272,Overdue,2024-06-10,EQ-0337,Compressor,2024-05-31,Double Declining Balance,15,26910.85
Meridian Consulting,INV-699544,PO-82045,Partial,2023-09-03,FF-0338,Filing Cabinet,2023-08-04,Double Declining Balance,5,1473.07
TechVault Solutions,INV-729371,PO-72957,Pending,2023-01-27,EQ-0339,Generator,2023-01-17,Straight-Line,7,32320.97
Acme Office Supplies,INV-923002,PO-62096,Partial,2021-05-12,FF-0340,Desk,2021-04-27,Units of Production,10,14925.51
Quantum Electronics,INV-499974,PO-58418,Pending,2026-06-30,IT-0341,Switch,2026-05-31,Units of Production,15,7935.45
TechVault Solutions,INV-164633,PO-29808,Paid,2022-01-28,EQ-0342,CNC Machine,2021-12-14,Straight-Line,5,19856.68
Silverline Insurance,INV-958160,PO-78495,Partial,2022-12-24,BL-0343,Office Renovation,2022-11-09,MACRS,15,2903.51
Silverline Insurance,INV-849003,PO-14551,Scheduled,2024-05-13,EQ-0344,CNC Machine,2024-04-28,MACRS,3,19282.4
Quantum Electronics,INV-322182,PO-35260,Pending,2024-11-01,IT-0345,Printer,2024-10-17,Straight-Line,5,49273.46
Ironclad Security,INV-862422,PO-18783,Paid,2020-01-01,VH-0346,Van,2019-11-17,Units of Production,15,6671.53
Granite Construction,INV-716118,PO-78493,Partial,2023-07-16,FF-0347,Conference Table,2023-06-16,Straight-Line,3,32049.57
Ironclad Security,INV-205071,PO-23845,Scheduled,2020-09-19,BL-0348,Parking Lot,2020-09-04,Straight-Line,15,38809.42
Keystone Legal Services,INV-738543,PO-72003,Paid,2022-04-16,EQ-0349,CNC Machine,2022-03-17,Double Declining Balance,10,21146.27
Vanguard Equipment Co,INV-515018,PO-53449,Pending,2023-07-24,BL-0350,Parking Lot,2023-07-09,Straight-Line,20,20104.33
Oasis Water Services,INV-426053,PO-46745,Partial,2024-05-30,FF-0351,Desk,2024-04-30,Straight-Line,7,36306.74
Crestview Landscaping,INV-734366,PO-94614,Paid,2021-08-06,FF-0352,Conference Table,2021-07-22,Double Declining Balance,7,11331.79
BlueSky Marketing,INV-168804,PO-50779,Scheduled,2021-06-29,EQ-0353,CNC Machine,2021-05-15,Units of Production,3,22874.53
Pinnacle Manufacturing,INV-134677,PO-69827,Paid,2024-11-27,VH-0354,Van,2024-11-17,Sum-of-Years-Digits,5,12896.31
Trident HVAC Systems,INV-229890,PO-99282,Paid,2021-04-25,FF-0355,Conference Table,2021-03-26,Double Declining Balance,15,15193.19
Sterling Furniture,INV-271456,PO-43903,Paid,2024-08-09,VH-0356,Company Car,2024-06-25,Sum-of-Years-Digits,15,14860.15
Acme Office Supplies,INV-316773,PO-45269,Partial,2023-05-13,VH-0357,Van,2023-05-03,MACRS,5,14257.61
Acme Office Supplies,INV-108874,PO-39329,Overdue,2026-09-05,EQ-0358,Compressor,2026-08-26,MACRS,20,6434.28
Keystone Legal Services,INV-589368,PO-49602,Scheduled,2022-07-05,EQ-0359,HVAC Unit,2022-06-05,MACRS,7,10608.24
Nexus Software,INV-688730,PO-94848,Scheduled,2025-08-01,IT-0360,Router,2025-07-22,MACRS,20,38974.08
Evergreen Facilities,INV-390334,PO-44229,Overdue,2022-05-17,EQ-0361,Generator,2022-05-07,Double Declining Balance,7,10661.3
Pinnacle Manufacturing,INV-246726,PO-13336,Partial,2024-11-03,IT-0362,Router,2024-10-19,Sum-of-Years-Digits,10,17007.3
Vanguard Equipment Co,INV-955653,PO-34892,Overdue,2023-10-26,EQ-0363,Generator,2023-09-11,Double Declining Balance,15,37076.74
Silverline Insurance,INV-685365,PO-33741,Overdue,2025-02-12,FF-0364,Filing Cabinet,2024-12-29,Straight-Line,5,32830.31
Pacific Fleet Services,INV-193637,PO-39131,Overdue,2020-07-08,BL-0365,Office Renovation,2020-06-08,Double Declining Balance,20,23713.7
Oasis Water Services,INV-992562,PO-25437,Partial,2022-07-26,FF-0366,Filing Cabinet,2022-06-11,Straight-Line,7,14492.86
Crestview Landscaping,INV-500209,PO-79446,Overdue,2026-02-21,EQ-0367,Compressor,2026-02-11,Units of Production,15,5747.6
TechVault Solutions,INV-579798,PO-28772,Overdue,2020-09-24,VH-0368,Forklift,2020-09-09,Double Declining Balance,10,27545.79
Phoenix Data Centers,INV-574012,PO-45851,Pending,2020-01-12,FF-0369,Chair,2019-11-28,Double Declining Balance,7,9793.26
Apex Janitorial,INV-522988,PO-66233,Partial,2020-11-24,IT-0370,Server,2020-10-10,Units of Production,15,16560.77
Acme Office Supplies,INV-299834,PO-12348,Paid,2019-06-19,FF-0371,Desk,2019-06-04,Double Declining Balance,7,34804.9
Cornerstone IT,INV-420984,PO-31891,Paid,2026-11-10,FF-0372,Chair,2026-10-11,Straight-Line,3,12681.2
Evergreen Facilities,INV-820141,PO-27536,Overdue,2022-05-21,BL-0373,Parking Lot,2022-04-06,Units of Production,15,10246.45
Sterling Furniture,INV-237579,PO-37681,Paid,2021-02-25,EQ-0374,Generator,2021-02-10,MACRS,5,9433.8
Redwood Analytics,INV-908713,PO-80088,Scheduled,2020-12-03,FF-0375,Desk,2020-11-23,Straight-Line,10,33631.97
Catalyst Training Group,INV-498724,PO-26199,Scheduled,2019-07-26,IT-0376,Laptop,2019-07-16,Sum-of-Years-Digits,20,3471.47
Pacific Fleet Services,INV-794663,PO-78197,Overdue,2026-11-29,VH-0377,Truck,2026-11-14,MACRS,7,16541.04
Catalyst Training Group,INV-396439,PO-24943,Paid,2026-11-25,EQ-0378,Generator,2026-11-10,Units of Production,15,26950.32
Meridian Consulting,INV-268163,PO-15164,Scheduled,2025-11-14,FF-0379,Chair,2025-10-30,Units of Production,7,20609.7
Bridgeport Packaging,INV-215795,PO-85255,Partial,2021-06-14,FF-0380,Chair,2021-04-30,Double Declining Balance,3,579.16
Summit Logistics,INV-410401,PO-44619,Partial,2024-10-06,IT-0381,Monitor,2024-09-26,Straight-Line,20,7240.77
Greenfield Energy,INV-221531,PO-22451,Paid,2020-12-26,FF-0382,Filing Cabinet,2020-12-16,Straight-Line,20,9393.73
Crestview Landscaping,INV-868677,PO-22183,Overdue,2020-08-04,FF-0383,Filing Cabinet,2020-07-20,Sum-of-Years-Digits,10,14755.47
Atlas Cloud Services,INV-991993,PO-72684,Partial,2020-05-26,EQ-0384,HVAC Unit,2020-04-11,Double Declining Balance,7,23682.77
Greenfield Energy,INV-941235,PO-84572,Partial,2020-07-06,VH-0385,Truck,2020-06-26,Double Declining Balance,10,33179.96
Catalyst Training Group,INV-237002,PO-73318,Partial,2023-05-05,BL-0386,Office Renovation,2023-04-05,Straight-Line,20,40635.7
Quantum Electronics,INV-838793,PO-98857,Scheduled,2023-09-26,IT-0387,Laptop,2023-08-12,MACRS,7,16726.47
Oasis Water Services,INV-605339,PO-55318,Partial,2025-05-18,FF-0388,Desk,2025-05-03,Double Declining Balance,10,27659.89
Harbor Freight Supplies,INV-993251,PO-74990,Pending,2025-04-15,IT-0389,Switch,2025-04-05,Straight-Line,5,23589.97
Phoenix Data Centers,INV-677236,PO-94320,Partial,2024-08-05,VH-0390,Forklift,2024-07-06,Units of Production,7,1726.61
Harbor Freight Supplies,INV-622669,PO-68598,Overdue,2021-08-30,EQ-0391,HVAC Unit,2021-08-20,Straight-Line,15,7455.8
Pacific Fleet Services,INV-100177,PO-21913,Scheduled,2026-05-10,IT-0392,Printer,2026-04-30,MACRS,10,1321.4
Metro Print & Copy,INV-333746,PO-69566,Overdue,2022-06-16,EQ-0393,CNC Machine,2022-06-01,MACRS,7,12607.94
Phoenix Data Centers,INV-332518,PO-10287,Overdue,2026-01-27,FF-0394,Conference Table,2025-12-13,Sum-of-Years-Digits,3,4268.23
Harbor Freight Supplies,INV-272129,PO-74542,Pending,2026-03-10,BL-0395,Parking Lot,2026-02-08,Units of Production,7,12170.77
Greenfield Energy,INV-919378,PO-34979,Overdue,2021-11-22,VH-0396,Truck,2021-11-07,Straight-Line,10,6759.52
Phoenix Data Centers,INV-628689,PO-27647,Partial,2023-09-04,BL-0397,Office Renovation,2023-08-25,Straight-Line,10,17911.88
Redwood Analytics,INV-285810,PO-85832,Pending,2019-09-01,BL-0398,Warehouse Expansion,2019-07-18,Double Declining Balance,15,38623.73
Greenfield Energy,INV-899407,PO-42537,Overdue,2023-06-05,BL-0399,Warehouse Expansion,2023-05-06,Units of Production,10,30008.83
Horizon Telecom,INV-884782,PO-77147,Overdue,2022-06-03,VH-0400,Van,2022-04-19,MACRS,10,24559.78
Crestview Landscaping,INV-462066,PO-98129,Pending,2022-07-24,VH-0401,Van,2022-07-09,Double Declining Balance,15,17572.91
Redwood Analytics,INV-799565,PO-64719,Scheduled,2025-03-02,IT-0402,Monitor,2025-01-31,Sum-of-Years-Digits,15,17373.58
Quantum Electronics,INV-802812,PO-17419,Pending,2023-10-07,BL-0403,Office Renovation,2023-09-27,Sum-of-Years-Digits,3,7204.46
Phoenix Data Centers,INV-313910,PO-80932,Paid,2020-11-20,FF-0404,Chair,2020-10-21,Sum-of-Years-Digits,3,30435.0
Harbor Freight Supplies,INV-878476,PO-94819,Scheduled,2024-02-07,BL-0405,Parking Lot,2024-01-28,Units of Production,20,26562.46
Cornerstone IT,INV-818430,PO-50980,Scheduled,2024-10-23,IT-0406,Printer,2024-09-23,Straight-Line,10,21227.53
Acme Office Supplies,INV-844012,PO-94886,Overdue,2021-11-10,BL-0407,Warehouse Expansion,2021-10-26,MACRS,5,34735.15
Granite Construction,INV-178086,PO-34507,Pending,2025-10-22,VH-0408,Forklift,2025-10-07,MACRS,10,9285.52
Greenfield Energy,INV-712353,PO-43425,Paid,2023-04-05,EQ-0409,CNC Machine,2023-03-26,Sum-of-Years-Digits,15,4849.57
BlueSky Marketing,INV-755744,PO-90689,Overdue,2026-12-31,IT-0410,Server,2026-12-16,Units of Production,7,9045.8
Keystone Legal Services,INV-292800,PO-78236,Paid,2025-07-03,IT-0411,Switch,2025-06-03,MACRS,7,11472.22
Atlas Cloud Services,INV-448005,PO-53393,Overdue,2023-10-15,IT-0412,Monitor,2023-08-31,Sum-of-Years-Digits,5,19031.03
Meridian Consulting,INV-567315,PO-41502,Scheduled,2026-01-21,BL-0413,Parking Lot,2025-12-07,MACRS,3,4596.37
Cornerstone IT,INV-396567,PO-13238,Scheduled,2019-07-13,EQ-0414,Generator,2019-06-13,Sum-of-Years-Digits,10,8879.37
